,years_total,climbs_total,pitches_total,route_mean,route_max,boulder_mean,boulder_max,danger_factor,solos,hardest_solo,trad_count,sport_count,locations,success,quarter_max1,quarter_max2,quarter_max3,quarter_max4
0,103 days 00:00:00.000000000,10,10,9.69,11.0,,,0.0,0,,2,10,5,3,11.0,,,
0,1725 days 00:00:00.000000000,19,29,7.674999999999999,10.3,1.763636363636364,8.8,0.0,0,,5,3,10,0,10.3,,,
0,15 days 00:00:00.000000000,4,4,9.65,10.1,,,0.0,0,,0,4,1,0,10.1,,,
0,10 days 00:00:00.000000000,5,5,9.66,10.0,,,0.0,0,,1,5,3,1,10.0,,,
0,11 days 00:00:00.000000000,4,4,7.375,7.5,,,0.0,0,,0,4,2,0,7.5,,,
0,68 days 00:00:00.000000000,8,9,8.114285714285714,10.3,1.8,1.8,0.0,1,1.8,1,7,7,2,10.3,,,
0,0 days 00:00:00.000000000,1,1,7.0,7.0,,,0.0,0,,0,1,1,0,7.0,,,
0,99 days 00:00:00.000000000,34,46,7.124242424242425,10.0,2.2,2.2,0.058823529411764705,1,2.2,23,0,7,17,10.0,9.5,,
0,3765 days 00:00:00.000000000,44,167,11.016216216216216,13.0,5.771428571428572,7.2,0.1590909090909091,0,,32,8,37,3,13.0,13.0,11.4,
0,97 days 00:00:00.000000000,20,23,6.584999999999999,10.9,,,0.2,0,,16,3,9,2,10.9,,,
0,71 days 00:00:00.000000000,91,110,9.545054945054941,11.3,,,0.03296703296703297,0,,6,86,40,49,10.6,11.3,11.0,11.1
0,0 days 00:00:00.000000000,1,1,9.5,9.5,,,0.0,0,,1,0,1,0,9.5,,,
0,99 days 00:00:00.000000000,3,3,9.5,9.5,2.0,2.0,0.0,0,,1,1,3,0,9.5,,,
0,0 days 00:00:00.000000000,1,1,9.8,9.8,,,0.0,0,,0,1,1,0,9.8,,,
0,3728 days 00:00:00.000000000,86,111,10.436842105263153,12.1,3.349999999999999,4.8,0.06976744186046512,0,,52,24,44,6,11.7,12.1,12.0,11.2
0,553 days 00:00:00.000000000,22,22,7.0,11.0,,,0.0,0,,5,5,9,0,11.0,11.0,,
0,0 days 00:00:00.000000000,1,1,9.5,9.5,,,1.0,0,,1,0,1,0,9.5,,,
0,0 days 00:00:00.000000000,1,1,9.5,9.5,,,0.0,0,,0,1,1,0,9.5,,,
0,0 days 00:00:00.000000000,1,1,8.5,8.5,,,0.0,0,,1,0,1,0,8.5,,,
0,0 days 00:00:00.000000000,1,1,11.3,11.3,,,0.0,0,,0,1,1,0,11.3,,,
0,504 days 00:00:00.000000000,28,28,9.581481481481482,11.0,3.2,3.2,0.0,1,3.2,0,27,12,8,11.0,10.6,,
0,0 days 00:00:00.000000000,5,5,9.940000000000001,10.3,,,0.2,0,,0,5,4,0,10.3,,,
0,0 days 00:00:00.000000000,5,5,9.7,11.0,,,0.0,0,,0,5,1,0,11.0,,,
0,1179 days 00:00:00.000000000,23,26,9.554545454545456,11.0,1.2,1.2,0.0,0,,6,16,16,0,11.0,10.3,,
0,462 days 00:00:00.000000000,50,54,7.819047619047619,10.5,1.5620689655172415,4.2,0.06,16,6.0,2,11,25,0,8.8,10.0,10.5,
0,225 days 00:00:00.000000000,2,5,9.5,9.5,,,0.0,0,,0,2,2,1,9.5,,,
0,197 days 00:00:00.000000000,10,12,5.9375,7.5,0.6,1.2,0.1,0,,3,5,7,2,7.5,,,
0,1 days 00:00:00.000000000,2,2,7.9,8.8,,,0.0,0,,1,1,2,0,8.8,,,
0,1877 days 00:00:00.000000000,494,837,7.813216957605987,11.6,0.15,1.2,0.022267206477732792,1,,229,177,168,8,10.0,8.5,4.0,10.8
0,1342 days 00:00:00.000000000,328,394,9.741463414634156,12.6,,,0.03353658536585366,0,,146,188,100,48,11.3,11.4,11.7,11.9
0,0 days 00:00:00.000000000,2,2,,,4.2,4.2,0.0,0,,0,0,1,0,4.2,,,
0,0 days 00:00:00.000000000,4,4,9.2,10.3,,,0.0,0,,0,4,1,0,10.3,,,
0,11 days 00:00:00.000000000,4,4,9.475000000000001,10.9,,,0.0,0,,1,3,4,1,10.9,,,
0,434 days 00:00:00.000000000,13,13,7.5,9.5,0.0,0.0,0.07692307692307693,0,,2,10,6,0,9.5,,,
0,363 days 00:00:00.000000000,3,3,8.700000000000001,10.6,,,0.0,0,,0,3,1,2,10.6,,,
0,0 days 00:00:00.000000000,1,1,12.9,12.9,,,0.0,0,,0,1,1,0,12.9,,,
0,10 days 00:00:00.000000000,5,5,,,0.54,1.5,0.0,0,,0,0,2,0,1.5,,,
0,17 days 00:00:00.000000000,6,6,7.833333333333333,10.0,,,0.0,0,,0,6,4,1,10.0,,,
0,1 days 00:00:00.000000000,3,3,7.75,8.5,0.0,0.0,0.0,1,0.0,2,0,2,0,8.5,,,
0,4 days 00:00:00.000000000,44,46,8.329545454545455,11.0,,,0.0,0,,1,43,7,16,11.0,10.9,9.5,
0,619 days 00:00:00.000000000,64,66,7.145762711864407,10.3,1.1600000000000001,2.2,0.0,0,,2,49,18,0,10.3,10.0,9.5,9.0
0,0 days 00:00:00.000000000,1,2,11.6,11.6,,,1.0,0,,1,0,1,0,11.6,,,
0,20 days 00:00:00.000000000,6,6,6.166666666666667,7.0,,,0.16666666666666666,0,,6,0,4,0,7.0,,,
0,399 days 00:00:00.000000000,18,18,,,3.700000000000001,5.2,0.0,1,1.2,0,0,1,0,5.2,,,
0,1129 days 00:00:00.000000000,27,68,6.952000000000001,10.0,,,0.18518518518518517,0,,20,8,22,0,10.0,9.5,,
0,778 days 00:00:00.000000000,39,39,6.975,10.3,0.9263157894736841,3.2,0.07692307692307693,2,1.2,7,8,14,4,9.8,10.3,,
0,44 days 00:00:00.000000000,10,10,7.65,8.5,,,0.0,7,8.5,1,9,2,1,8.5,,,
0,36 days 00:00:00.000000000,2,2,10.7,11.1,,,0.0,0,,0,2,2,0,11.1,,,
0,1347 days 00:00:00.000000000,21,22,10.661538461538461,11.9,2.7874999999999996,4.2,0.0,0,,0,13,14,0,11.9,8.5,,
0,354 days 00:00:00.000000000,9,25,7.2555555555555555,8.8,,,0.0,0,,8,1,7,1,8.8,,,
0,488 days 00:00:00.000000000,36,63,5.847222222222222,10.7,,,0.1111111111111111,0,,36,0,10,16,10.7,10.3,,
0,17 days 00:00:00.000000000,7,9,7.142857142857143,8.5,,,0.0,0,,0,7,3,0,8.5,,,
0,582 days 00:00:00.000000000,21,21,,,3.5619047619047626,6.5,0.0,0,,0,0,11,0,6.5,3.0,,
0,518 days 00:00:00.000000000,2,2,10.6,10.6,7.2,7.2,0.0,0,,0,1,2,0,10.6,,,
0,0 days 00:00:00.000000000,3,3,8.5,10.0,,,0.0,0,,0,3,2,0,10.0,,,
0,2636 days 00:00:00.000000000,27,28,9.584615384615384,12.0,3.3571428571428577,7.0,0.0,0,,6,7,17,0,12.0,11.3,,
0,607 days 00:00:00.000000000,35,51,7.5600000000000005,10.3,,,0.14285714285714285,1,5.0,24,12,25,0,10.3,9.5,,
0,5 days 00:00:00.000000000,13,13,7.8538461538461535,9.5,,,0.15384615384615385,0,,2,11,3,1,9.5,,,
0,94 days 00:00:00.000000000,36,39,9.215384615384615,10.9,1.360869565217391,3.2,0.08333333333333333,1,5.0,3,7,14,0,10.9,10.0,,
0,49 days 00:00:00.000000000,18,20,8.777777777777779,10.0,,,0.0,0,,0,18,12,0,10.0,,,
0,168 days 00:00:00.000000000,27,29,9.588888888888889,11.4,,,0.2222222222222222,0,,3,24,13,6,11.4,11.3,,
0,452 days 00:00:00.000000000,10,10,8.5,10.0,,,0.1,0,,8,2,5,2,10.0,,,
0,0 days 00:00:00.000000000,1,1,,,0.0,0.0,0.0,0,,0,0,1,0,0.0,,,
0,708 days 00:00:00.000000000,73,111,8.2,11.0,1.3490566037735852,7.0,0.0136986301369863,32,10.4,15,0,40,1,11.0,10.4,9.5,6.0
0,867 days 00:00:00.000000000,108,223,8.33644859813084,12.0,,,0.018518518518518517,7,4.0,53,58,56,66,12.0,11.3,11.0,11.0
0,0 days 00:00:00.000000000,1,1,9.5,9.5,,,0.0,0,,0,1,1,1,9.5,,,
0,25 days 00:00:00.000000000,10,14,7.88,9.8,,,0.0,0,,4,7,4,0,9.8,,,
0,2670 days 00:00:00.000000000,17,19,7.717647058823529,10.6,,,0.0,0,,7,10,8,0,10.6,,,
0,62 days 00:00:00.000000000,12,14,7.283333333333334,10.9,,,0.0,0,,12,0,7,0,10.9,,,
0,850 days 00:00:00.000000000,6,6,6.2,7.2,2.9000000000000004,5.2,0.0,2,3.2,0,0,5,0,7.2,,,
0,0 days 00:00:00.000000000,2,2,8.5,10.0,,,0.5,0,,1,1,1,0,10.0,,,
0,24 days 00:00:00.000000000,9,12,6.5,8.5,,,0.0,0,,0,8,3,6,8.5,,,
0,127 days 00:00:00.000000000,27,27,9.088888888888889,10.6,,,0.0,0,,0,27,12,4,10.6,8.8,,
0,462 days 00:00:00.000000000,20,22,8.095,10.6,,,0.3,0,,10,10,9,0,10.6,,,
0,2017 days 00:00:00.000000000,298,347,10.789583333333347,14.0,6.322222222222223,10.2,0.016778523489932886,3,10.2,52,239,100,105,13.9,13.3,14.0,13.3
0,19 days 00:00:00.000000000,4,4,8.433333333333334,8.8,1.2,1.2,0.0,0,,0,3,3,0,8.8,,,
0,0 days 00:00:00.000000000,2,2,5.5,6.0,,,0.0,0,,0,2,1,2,6.0,,,
0,440 days 00:00:00.000000000,10,11,6.866666666666666,10.3,,,0.2,1,,7,2,8,8,10.3,,,
0,0 days 00:00:00.000000000,1,1,12.9,12.9,,,1.0,0,,0,1,1,0,12.9,,,
0,7665 days 00:00:00.000000000,11,21,8.527272727272727,10.3,,,0.18181818181818182,0,,7,2,6,1,10.3,,,
0,1071 days 00:00:00.000000000,4,36,7.875,10.0,,,0.25,0,,1,3,4,2,10.0,,,
0,0 days 00:00:00.000000000,1,1,8.5,8.5,,,0.0,0,,0,1,1,0,8.5,,,
0,0 days 00:00:00.000000000,2,6,8.25,9.5,,,0.0,0,,2,0,1,0,9.5,,,
0,0 days 00:00:00.000000000,2,2,7.75,8.5,,,0.0,0,,0,2,1,0,8.5,,,
0,0 days 00:00:00.000000000,1,1,,,2.2,2.2,0.0,0,,0,0,1,0,2.2,,,
0,30 days 00:00:00.000000000,6,6,8.0,8.5,,,0.0,0,,0,6,4,2,8.5,,,
0,59 days 00:00:00.000000000,6,6,9.183333333333334,10.6,,,0.0,0,,2,4,3,0,10.6,,,
0,19 days 00:00:00.000000000,6,6,9.483333333333333,10.3,,,0.0,0,,1,5,4,2,10.3,,,
0,1090 days 00:00:00.000000000,63,64,10.255555555555555,13.0,,,0.031746031746031744,0,,1,63,16,31,13.0,12.5,11.9,12.3
0,994 days 00:00:00.000000000,102,160,9.448999999999996,12.8,3.1,5.0,0.0784313725490196,0,,59,42,51,0,11.5,12.8,12.3,12.0
0,0 days 00:00:00.000000000,4,24,,,1.2,1.2,0.0,1,1.2,0,0,2,0,1.2,,,
0,0 days 00:00:00.000000000,2,2,6.75,8.5,,,0.0,0,,1,0,1,0,8.5,,,
0,7 days 00:00:00.000000000,6,6,8.883333333333333,10.3,,,0.0,0,,0,6,3,0,10.3,,,
0,27 days 00:00:00.000000000,4,4,9.875,10.2,,,0.0,0,,0,3,3,1,10.2,,,
0,325 days 00:00:00.000000000,18,21,7.938888888888887,10.0,,,0.0,0,,4,14,11,3,10.0,,,
0,3 days 00:00:00.000000000,5,5,6.7,8.5,,,0.0,1,5.0,5,0,2,0,8.5,,,
0,2017 days 00:00:00.000000000,30,46,6.85,9.5,,,0.0,0,,14,11,15,0,9.5,8.5,,
0,0 days 00:00:00.000000000,1,1,8.5,8.5,,,0.0,0,,1,0,1,0,8.5,,,
0,302 days 00:00:00.000000000,29,29,8.962962962962964,11.0,1.1,2.2,0.0,0,,0,27,11,3,10.7,11.0,,
0,630 days 00:00:00.000000000,3,7,6.666666666666667,7.0,,,0.0,0,,2,1,3,0,7.0,,,
0,1321 days 00:00:00.000000000,352,520,8.386627906976747,11.7,0.7000000000000001,2.2,0.05397727272727273,0,,197,161,141,0,10.6,11.3,10.9,11.4
0,3102 days 00:00:00.000000000,94,132,9.405494505494504,12.0,,,0.10638297872340426,0,,27,65,28,6,12.0,12.0,12.0,11.5
0,8 days 00:00:00.000000000,11,12,9.8,11.7,,,0.0,0,,0,11,3,9,11.7,,,
0,894 days 00:00:00.000000000,11,15,7.35,10.7,,,0.2727272727272727,0,,9,1,6,6,10.7,,,
0,1446 days 00:00:00.000000000,28,32,9.311538461538463,11.3,2.2,3.2,0.0,0,,1,25,15,0,11.3,10.3,,
0,1 days 00:00:00.000000000,7,7,9.442857142857141,11.0,,,0.0,0,,0,7,1,0,11.0,,,
0,266 days 00:00:00.000000000,2,24,8.8,10.6,,,1.0,0,,2,0,2,2,10.6,,,
0,28 days 00:00:00.000000000,40,40,12.111764705882354,12.6,4.721739130434784,7.2,0.025,0,,0,17,38,4,12.2,12.6,,
0,4638 days 00:00:00.000000000,127,237,8.579674796747968,12.0,,,0.023622047244094488,5,5.0,56,68,34,67,10.3,11.2,11.0,10.2
0,1462 days 00:00:00.000000000,92,95,10.063829787234043,12.0,3.8488888888888875,7.2,0.03260869565217391,0,,8,39,50,22,12.0,11.3,12.0,11.3
0,1975 days 00:00:00.000000000,283,301,8.278798586572435,12.0,,,0.02120141342756184,0,,46,242,59,69,10.0,10.3,10.9,10.3
0,3926 days 00:00:00.000000000,2,15,3.5,5.0,,,0.0,0,,2,0,2,0,5.0,,,
0,3 days 00:00:00.000000000,5,5,6.7,8.5,,,0.0,1,5.0,5,0,2,0,8.5,,,
0,1188 days 00:00:00.000000000,14,54,8.307692307692308,10.0,,,0.14285714285714285,1,,7,7,7,2,10.0,,,
0,383 days 00:00:00.000000000,18,28,9.605555555555556,11.0,,,0.05555555555555555,0,,0,18,13,0,11.0,,,
0,10 days 00:00:00.000000000,12,13,6.916666666666667,9.5,,,0.0,0,,7,0,6,1,9.5,,,
0,150 days 00:00:00.000000000,9,9,11.3,11.6,4.128571428571428,5.8,0.0,0,,0,2,8,0,11.6,,,
0,52 days 00:00:00.000000000,6,6,8.416666666666666,10.0,,,0.0,0,,0,6,4,0,10.0,,,
0,21 days 00:00:00.000000000,11,11,8.927272727272726,10.9,,,0.0,0,,0,11,4,2,10.9,,,
0,0 days 00:00:00.000000000,1,1,9.5,9.5,,,0.0,0,,1,0,1,0,9.5,,,
0,0 days 00:00:00.000000000,20,32,11.8,12.9,8.533333333333333,9.2,0.1,0,,3,10,10,3,12.9,,,
0,22 days 00:00:00.000000000,8,8,9.8875,11.0,,,0.0,0,,1,7,2,2,11.0,,,
0,0 days 00:00:00.000000000,1,1,10.5,10.5,,,0.0,0,,0,1,1,0,10.5,,,
0,1 days 00:00:00.000000000,5,5,8.5,10.0,,,0.0,0,,0,5,1,0,10.0,,,
0,83 days 00:00:00.000000000,13,13,8.253846153846155,11.4,,,0.15384615384615385,0,,8,2,3,0,11.4,,,
0,27 days 00:00:00.000000000,8,8,,,0.55,2.2,0.0,8,2.2,0,0,3,0,2.2,,,
0,0 days 00:00:00.000000000,4,4,,,1.6,2.2,0.0,3,2.2,0,0,1,0,2.2,,,
0,331 days 00:00:00.000000000,10,14,6.0,8.5,,,0.2,0,,9,0,4,0,8.5,,,
0,272 days 00:00:00.000000000,64,64,8.6984375,11.0,,,0.234375,0,,25,39,3,1,11.0,10.6,10.3,9.0
0,0 days 00:00:00.000000000,1,1,,,1.2,1.2,0.0,0,,0,0,1,0,1.2,,,
0,0 days 00:00:00.000000000,1,1,,,7.8,7.8,0.0,0,,0,0,1,0,7.8,,,
0,14 days 00:00:00.000000000,5,6,8.459999999999999,10.2,,,0.8,0,,4,1,3,0,10.2,,,
0,379 days 00:00:00.000000000,15,25,7.1,10.7,,,0.13333333333333333,2,5.0,13,2,9,0,10.7,,,
0,754 days 00:00:00.000000000,57,71,8.588679245283021,11.6,2.7,3.2,0.14035087719298245,8,8.5,26,27,29,15,11.6,11.0,11.5,
0,0 days 00:00:00.000000000,1,1,11.9,11.9,,,0.0,0,,0,1,1,1,11.9,,,
0,5 days 00:00:00.000000000,5,5,3.4,6.0,,,0.0,0,,5,0,2,0,6.0,,,
0,363 days 00:00:00.000000000,9,12,8.8375,10.6,2.2,2.2,0.0,0,,3,5,6,1,10.6,,,
0,296 days 00:00:00.000000000,7,29,9.042857142857143,10.6,,,0.0,0,,7,0,5,2,10.6,,,
0,49 days 00:00:00.000000000,3,3,11.1,11.1,3.7,4.2,0.0,0,,0,1,3,0,11.1,,,
0,332 days 00:00:00.000000000,13,21,8.2,9.8,,,0.0,0,,5,8,9,4,9.8,,,
0,470 days 00:00:00.000000000,18,18,8.977777777777778,10.9,,,0.1111111111111111,0,,4,13,9,0,10.9,,,
0,0 days 00:00:00.000000000,1,1,10.3,10.3,,,0.0,0,,0,1,1,1,10.3,,,
0,0 days 00:00:00.000000000,2,2,6.0,6.0,,,0.5,0,,0,1,2,0,6.0,,,
0,14 days 00:00:00.000000000,4,4,9.9,10.3,1.1,2.2,0.0,0,,0,2,3,0,10.3,,,
0,2 days 00:00:00.000000000,4,4,6.75,8.5,,,0.0,0,,0,4,3,0,8.5,,,
0,49 days 00:00:00.000000000,13,14,9.461538461538462,11.0,,,0.0,0,,0,13,3,0,11.0,,,
0,0 days 00:00:00.000000000,2,2,,,5.1,5.2,0.0,0,,0,0,2,0,5.2,,,
0,17 days 00:00:00.000000000,19,20,10.152631578947368,12.3,,,0.15789473684210525,0,,13,5,9,10,12.3,,,
0,431 days 00:00:00.000000000,13,48,7.976923076923077,10.4,,,0.6153846153846154,0,,12,1,10,4,10.4,,,
0,515 days 00:00:00.000000000,4,4,,,6.6,8.2,0.0,0,,0,0,2,0,8.2,,,
0,22 days 00:00:00.000000000,7,7,8.042857142857143,9.8,,,0.2857142857142857,0,,3,3,2,0,9.8,,,
0,1623 days 00:00:00.000000000,8,8,10.775,13.3,,,0.25,0,,1,7,4,1,13.3,,,
0,264 days 00:00:00.000000000,10,10,9.275,10.1,1.3,2.2,0.1,6,2.2,0,4,5,0,10.1,,,
0,1 days 00:00:00.000000000,45,148,8.704444444444446,10.9,,,0.022222222222222223,0,,36,9,37,0,10.7,10.9,9.5,
0,2155 days 00:00:00.000000000,634,635,8.258386075949382,13.0,0.0,0.0,0.015772870662460567,27,10.3,57,530,145,150,10.3,11.0,10.3,9.8
0,321 days 00:00:00.000000000,20,24,9.275,11.7,,,0.0,0,,0,20,9,9,11.7,,,
0,1008 days 00:00:00.000000000,3,11,8.966666666666667,10.1,,,0.0,0,,2,1,3,0,10.1,,,
0,532 days 00:00:00.000000000,4,4,7.625,8.5,,,0.0,0,,0,4,3,3,8.5,,,
0,375 days 00:00:00.000000000,15,15,8.086666666666666,10.3,,,0.0,0,,1,14,5,0,10.3,,,
0,1381 days 00:00:00.000000000,65,82,7.203278688524589,11.0,,,0.0,0,,6,57,18,0,9.5,10.6,8.5,11.0
0,905 days 00:00:00.000000000,30,61,9.461538461538462,11.0,3.1500000000000004,6.2,0.0,2,7.5,4,22,14,14,11.0,11.0,,
0,0 days 00:00:00.000000000,1,1,8.5,8.5,,,0.0,0,,0,1,1,1,8.5,,,
0,1588 days 00:00:00.000000000,564,644,9.198816568047354,13.0,1.5735849056603783,7.2,0.0975177304964539,3,6.0,221,278,115,27,10.6,10.6,12.6,13.0
