,years_total,climbs_total,pitches_total,route_mean,route_max,boulder_mean,boulder_max,danger_factor,solos,hardest_solo,trad_count,sport_count,locations,success,quarter_max1,quarter_max2,quarter_max3,quarter_max4
0,132 days 00:00:00.000000000,19,19,,,4.121052631578948,6.0,0.0,0,,0,0,7,0,6.0,,,
0,0 days 00:00:00.000000000,2,2,9.65,9.8,,,0.0,0,,0,2,1,0,9.8,,,
0,446 days 00:00:00.000000000,17,17,9.670588235294119,11.9,,,0.0,0,,0,17,8,4,11.9,,,
0,460 days 00:00:00.000000000,19,67,8.357894736842105,9.5,,,0.10526315789473684,0,,17,2,17,0,9.5,,,
0,3552 days 00:00:00.000000000,1400,1905,7.338638045891933,12.6,2.45945945945946,9.5,0.125,12,8.5,905,424,469,152,11.0,12.0,10.9,11.7
0,0 days 00:00:00.000000000,1,1,8.5,8.5,,,0.0,0,,0,1,1,1,8.5,,,
0,1144 days 00:00:00.000000000,19,26,6.90625,9.5,,,0.0,4,4.0,7,14,12,7,9.5,,,
0,231 days 00:00:00.000000000,18,25,11.28888888888889,12.0,,,0.1111111111111111,0,,6,13,14,4,12.0,,,
0,3110 days 00:00:00.000000000,18,34,9.988888888888887,11.6,,,0.1111111111111111,0,,11,7,7,0,11.6,,,
0,1959 days 00:00:00.000000000,9,9,7.911111111111111,10.1,,,0.0,0,,4,6,7,1,10.1,,,
0,266 days 00:00:00.000000000,3,4,7.266666666666667,9.8,,,0.0,0,,1,2,3,0,9.8,,,
0,0 days 00:00:00.000000000,1,1,7.5,7.5,,,0.0,0,,0,1,1,0,7.5,,,
0,5 days 00:00:00.000000000,2,2,7.25,8.5,,,0.0,0,,0,2,2,0,8.5,,,
0,352 days 00:00:00.000000000,8,8,8.9,10.0,7.95,11.2,0.0,1,10.8,0,0,4,0,11.2,,,
0,186 days 00:00:00.000000000,8,38,8.275,10.9,,,0.875,0,,8,0,6,0,10.9,,,
0,64 days 00:00:00.000000000,12,17,8.725,10.9,,,0.0,0,,6,6,8,5,10.9,,,
0,3395 days 00:00:00.000000000,336,368,6.601834862385321,11.5,0.0,0.0,0.044642857142857144,1,0.0,229,78,123,23,10.6,10.0,9.0,11.5
0,0 days 00:00:00.000000000,1,1,,,6.8,6.8,0.0,0,,0,0,1,0,6.8,,,
0,0 days 00:00:00.000000000,4,4,10.375,11.0,,,0.25,0,,0,4,1,1,11.0,,,
0,0 days 00:00:00.000000000,9,9,,,3.6333333333333337,6.2,0.0,0,,0,0,5,0,6.2,,,
